customer_id,customer_name,region
1,Customer 0001,North
2,Customer 0002,North
3,Customer 0003,East
4,Customer 0004,South
5,Customer 0005,South
6,Customer 0006,South
7,Customer 0007,North
8,Customer 0008,North
9,Customer 0009,West
10,Customer 0010,North
11,Customer 0011,North
12,Customer 0012,North
13,Customer 0013,South
14,Customer 0014,South
15,Customer 0015,North
16,Customer 0016,South
17,Customer 0017,West
18,Customer 0018,South
19,Customer 0019,West
20,Customer 0020,East
21,Customer 0021,North
22,Customer 0022,South
23,Customer 0023,West
24,Customer 0024,East
25,Customer 0025,East
26,Customer 0026,South
27,Customer 0027,South
28,Customer 0028,East
29,Customer 0029,North
30,Customer 0030,North
31,Customer 0031,West
32,Customer 0032,North
33,Customer 0033,East
34,Customer 0034,East
35,Customer 0035,East
36,Customer 0036,North
37,Customer 0037,West
38,Customer 0038,North
39,Customer 0039,West
40,Customer 0040,North
41,Customer 0041,East
42,Customer 0042,East
43,Customer 0043,South
44,Customer 0044,North
45,Customer 0045,North
46,Customer 0046,South
47,Customer 0047,East
48,Customer 0048,North
49,Customer 0049,South
50,Customer 0050,North
51,Customer 0051,West
52,Customer 0052,East
53,Customer 0053,West
54,Customer 0054,East
55,Customer 0055,South
56,Customer 0056,East
57,Customer 0057,East
58,Customer 0058,South
59,Customer 0059,East
60,Customer 0060,North
61,Customer 0061,South
62,Customer 0062,South
63,Customer 0063,South
64,Customer 0064,West
65,Customer 0065,West
66,Customer 0066,East
67,Customer 0067,South
68,Customer 0068,East
69,Customer 0069,North
70,Customer 0070,South
71,Customer 0071,North
72,Customer 0072,East
73,Customer 0073,West
74,Customer 0074,East
75,Customer 0075,North
76,Customer 0076,South
77,Customer 0077,East
78,Customer 0078,South
79,Customer 0079,West
80,Customer 0080,West
81,Customer 0081,West
82,Customer 0082,South
83,Customer 0083,East
84,Customer 0084,South
85,Customer 0085,South
86,Customer 0086,East
87,Customer 0087,West
88,Customer 0088,West
89,Customer 0089,East
90,Customer 0090,South
91,Customer 0091,South
92,Customer 0092,West
93,Customer 0093,North
94,Customer 0094,North
95,Customer 0095,North
96,Customer 0096,South
97,Customer 0097,South
98,Customer 0098,West
99,Customer 0099,North
100,Customer 0100,West
101,Customer 0101,West
102,Customer 0102,West
103,Customer 0103,East
104,Customer 0104,North
105,Customer 0105,North
106,Customer 0106,East
107,Customer 0107,East
108,Customer 0108,North
109,Customer 0109,East
110,Customer 0110,West
111,Customer 0111,South
112,Customer 0112,West
113,Customer 0113,North
114,Customer 0114,East
115,Customer 0115,South
116,Customer 0116,North
117,Customer 0117,East
118,Customer 0118,South
119,Customer 0119,South
120,Customer 0120,East
121,Customer 0121,South
122,Customer 0122,North
123,Customer 0123,East
124,Customer 0124,West
125,Customer 0125,North
126,Customer 0126,North
127,Customer 0127,East
128,Customer 0128,East
129,Customer 0129,South
130,Customer 0130,North
131,Customer 0131,South
132,Customer 0132,North
133,Customer 0133,North
134,Customer 0134,West
135,Customer 0135,North
136,Customer 0136,South
137,Customer 0137,South
138,Customer 0138,West
139,Customer 0139,South
140,Customer 0140,East
141,Customer 0141,West
142,Customer 0142,South
143,Customer 0143,South
144,Customer 0144,East
145,Customer 0145,West
146,Customer 0146,East
147,Customer 0147,West
148,Customer 0148,West
149,Customer 0149,North
150,Customer 0150,South
151,Customer 0151,South
152,Customer 0152,North
153,Customer 0153,East
154,Customer 0154,North
155,Customer 0155,South
156,Customer 0156,South
157,Customer 0157,North
158,Customer 0158,North
159,Customer 0159,North
160,Customer 0160,South
161,Customer 0161,North
162,Customer 0162,North
163,Customer 0163,East
164,Customer 0164,North
165,Customer 0165,South
166,Customer 0166,East
167,Customer 0167,West
168,Customer 0168,South
169,Customer 0169,South
170,Customer 0170,West
171,Customer 0171,South
172,Customer 0172,West
173,Customer 0173,West
174,Customer 0174,South
175,Customer 0175,North
176,Customer 0176,North
177,Customer 0177,West
178,Customer 0178,East
179,Customer 0179,West
180,Customer 0180,West
181,Customer 0181,West
182,Customer 0182,North
183,Customer 0183,North
184,Customer 0184,North
185,Customer 0185,West
186,Customer 0186,East
187,Customer 0187,North
188,Customer 0188,South
189,Customer 0189,South
190,Customer 0190,South
191,Customer 0191,West
192,Customer 0192,South
193,Customer 0193,West
194,Customer 0194,South
195,Customer 0195,East
196,Customer 0196,West
197,Customer 0197,South
198,Customer 0198,North
199,Customer 0199,West
200,Customer 0200,North
201,Customer 0201,North
202,Customer 0202,North
203,Customer 0203,North
204,Customer 0204,South
205,Customer 0205,South
206,Customer 0206,West
207,Customer 0207,West
208,Customer 0208,West
209,Customer 0209,South
210,Customer 0210,West
211,Customer 0211,North
212,Customer 0212,South
213,Customer 0213,West
214,Customer 0214,North
215,Customer 0215,West
216,Customer 0216,East
217,Customer 0217,West
218,Customer 0218,East
219,Customer 0219,West
220,Customer 0220,West
221,Customer 0221,South
222,Customer 0222,South
223,Customer 0223,East
224,Customer 0224,South
225,Customer 0225,North
226,Customer 0226,North
227,Customer 0227,East
228,Customer 0228,North
229,Customer 0229,North
230,Customer 0230,West
231,Customer 0231,South
232,Customer 0232,North
233,Customer 0233,North
234,Customer 0234,South
235,Customer 0235,North
236,Customer 0236,North
237,Customer 0237,South
238,Customer 0238,West
239,Customer 0239,North
240,Customer 0240,South
241,Customer 0241,North
242,Customer 0242,North
243,Customer 0243,West
244,Customer 0244,East
245,Customer 0245,East
246,Customer 0246,South
247,Customer 0247,East
248,Customer 0248,South
249,Customer 0249,East
250,Customer 0250,West
251,Customer 0251,South
252,Customer 0252,East
253,Customer 0253,West
254,Customer 0254,East
255,Customer 0255,North
256,Customer 0256,North
257,Customer 0257,West
258,Customer 0258,North
259,Customer 0259,North
260,Customer 0260,South
261,Customer 0261,East
262,Customer 0262,South
263,Customer 0263,East
264,Customer 0264,North
265,Customer 0265,South
266,Customer 0266,East
267,Customer 0267,East
268,Customer 0268,South
269,Customer 0269,West
270,Customer 0270,East
271,Customer 0271,North
272,Customer 0272,East
273,Customer 0273,North
274,Customer 0274,South
275,Customer 0275,East
276,Customer 0276,North
277,Customer 0277,North
278,Customer 0278,South
279,Customer 0279,East
280,Customer 0280,East
281,Customer 0281,South
282,Customer 0282,East
283,Customer 0283,South
284,Customer 0284,East
285,Customer 0285,West
286,Customer 0286,East
287,Customer 0287,North
288,Customer 0288,North
289,Customer 0289,West
290,Customer 0290,East
291,Customer 0291,North
292,Customer 0292,North
293,Customer 0293,East
294,Customer 0294,South
295,Customer 0295,East
296,Customer 0296,South
297,Customer 0297,West
298,Customer 0298,West
299,Customer 0299,North
300,Customer 0300,North
301,Customer 0301,North
302,Customer 0302,South
303,Customer 0303,North
304,Customer 0304,East
305,Customer 0305,South
306,Customer 0306,West
307,Customer 0307,South
308,Customer 0308,North
309,Customer 0309,East
310,Customer 0310,East
311,Customer 0311,North
312,Customer 0312,East
313,Customer 0313,South
314,Customer 0314,South
315,Customer 0315,North
316,Customer 0316,East
317,Customer 0317,West
318,Customer 0318,South
319,Customer 0319,South
320,Customer 0320,South
